PrePost,Surveys,u,p
pre_Norm_post_Low : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Norm_post_Low : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Norm_post_Low : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_Norm,Pre_f16_cum_GPA : Pre_f16_cum_GPA,59.0,0.02950802760560108
pre_High_post_Norm : pre_Low_post_Norm,Post_S17_cum_gpa : Post_S17_cum_gpa,46.0,0.3307830941785015
pre_High_post_Norm : pre_Low_post_Norm,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,17.0,0.10473458871835525
pre_High_post_Norm : pre_Low_post_Norm,Post_S17_term_gpa : Post_S17_term_gpa,40.0,0.6754765375991014
pre_High_post_Norm : pre_High_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,41.0,0.9670927530407483
pre_High_post_Norm : pre_High_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,46.0,0.7727468908945043
pre_High_post_Norm : pre_High_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,55.5,0.2823502157745551
pre_High_post_Norm : pre_High_post_High,Post_S17_term_gpa : Post_S17_term_gpa,48.0,0.6455885362084905
pre_High_post_Norm : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_Norm : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_Norm : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_Norm : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_Norm : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_Norm : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_Norm : pre_High_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,4.0,0.05523425371806383
pre_Low_post_Norm : pre_High_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,13.0,0.7841912294016191
pre_Low_post_Norm : pre_High_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,24.0,0.11900039318490273
pre_Low_post_Norm : pre_High_post_High,Post_S17_term_gpa : Post_S17_term_gpa,17.0,0.783711298793628
pre_Low_post_Norm : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_Norm : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_Norm : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_Norm : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_Norm : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_Norm : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_Norm : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_High : pre_Low_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_High : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_High : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_High_post_High : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_High_post_High : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_High_post_High : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_High_post_High : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_Low : pre_Low_post_High,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_Low : pre_Low_post_High,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_Low : pre_Low_post_High,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_Low : pre_Low_post_High,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_Low : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_Low : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_Low : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_Low : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
pre_Low_post_High : pre_High_post_Low,Pre_f16_cum_GPA : Pre_f16_cum_GPA,0.0,0.0
pre_Low_post_High : pre_High_post_Low,Post_S17_cum_gpa : Post_S17_cum_gpa,0.0,0.0
pre_Low_post_High : pre_High_post_Low,Post_S17_change_in_cum_gpa : Post_S17_change_in_cum_gpa,0.0,0.0
pre_Low_post_High : pre_High_post_Low,Post_S17_term_gpa : Post_S17_term_gpa,0.0,0.0
