PrePost,Type,u,p
pre_Norm_post_Norm : pre_Norm_post_High,D7_W1_ReceivedSupport : D7_W1_ReceivedSupport,277.5,0.1393898306798525
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_GaveSupport : WEEK1_GaveSupport,373.0,0.7751718168653218
pre_Norm_post_Norm : pre_Norm_post_High,WEEK1_ReceivedSupport : WEEK1_ReceivedSupport,377.5,0.8140702901900938
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2 : WEEK2,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_PRODUCTIVE : WEEK2_PRODUCTIVE,438.0,0.6687733284874854
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_BELONGING : WEEK2_BELONGING,285.0,0.20668500346225527
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_DISCRIMINATION : WEEK2_DISCRIMINATION,332.5,0.1997033543705472
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_EMO_DRAINED : WEEK2_EMO_DRAINED,417.5,0.8414848480667623
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_TALKSTRESS : WEEK2_TALKSTRESS,456.5,0.525581858745511
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_LITTLESLEEP : WEEK2_LITTLESLEEP,408.0,0.9246920320841227
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_PROFCARES : WEEK2_PROFCARES,288.0,0.21891518900532692
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HOMESICK : WEEK2_HOMESICK,482.5,0.34564633046196935
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_EXERCISE : WEEK2_EXERCISE,476.5,0.3908991504716881
pre_Norm_post_Norm : pre_Norm_post_High,WEEK_2_EMA_MORNING : WEEK_2_EMA_MORNING,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_ACTIVITY_ACADEMIC : WEEK2_ACTIVITY_ACADEMIC,484.0,0.3109862837433054
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_ACADEMIC_percentage : WEEK2_ACADEMIC_percentage,489.0,0.2832241599495011
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_ACTIVITY_PERSONAL : WEEK2_ACTIVITY_PERSONAL,362.5,0.6489016776800645
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_PERSONAL_percentage : WEEK2_PERSONAL_percentage,360.5,0.6308133720383445
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_TIRED_AM : WEEK2_TIRED_AM,345.0,0.5520260413084656
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_DRINK : WEEK2_DRINK,344.5,0.49446237594017084
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_DRUGS : WEEK2_DRUGS,430.5,0.48985836260737026
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_drinkdrugs_alone : WEEK2_drinkdrugs_alone,399.0,0.9799469723927589
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_negative_cons : WEEK2_negative_cons,314.0,0.07009404411685263
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_SLEEP : WEEK2_SLEEP,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsBed_Avg : WEEK2_HrsBed_Avg,313.0,0.3424698592986609
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsAsleep_Avg : WEEK2_HrsAsleep_Avg,290.0,0.22832879570775766
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsBed_Weekday_avg : WEEK2_HrsBed_Weekday_avg,298.0,0.26448024428944605
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsAsleep_Weekday_avg : WEEK2_HrsAsleep_Weekday_avg,321.0,0.38953376761652414
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsBed_Weekend_avg : WEEK2_HrsBed_Weekend_avg,388.5,0.9115851373644738
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_HrsAsleep_Weekend_avg : WEEK2_HrsAsleep_Weekend_avg,321.5,0.3925719108917447
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_TODAY_STRESSFUL : WEEK2_TODAY_STRESSFUL,480.5,0.36806100266099884
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_M_STRESS : WEEK2_M_STRESS,466.5,0.4546221262685072
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_M_CONTROL : WEEK2_M_CONTROL,523.5,0.16415270486442268
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_M_SUCCESS_COPING : WEEK2_M_SUCCESS_COPING,358.5,0.6567605612037368
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A1_STRESS : WEEK2_A1_STRESS,460.5,0.49705677087538114
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A1_CONTROL : WEEK2_A1_CONTROL,561.5,0.07035797830873426
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A1_SUCCESS_COPING : WEEK2_A1_SUCCESS_COPING,485.5,0.33920839740456665
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A2_STRESS : WEEK2_A2_STRESS,548.0,0.09771677946432863
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A2_CONTROL : WEEK2_A2_CONTROL,560.0,0.0732270510953308
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_A2_SUCCESS_COPING : WEEK2_A2_SUCCESS_COPING,383.5,0.8675914019096442
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_E_STRESS : WEEK2_E_STRESS,428.5,0.7467344084853947
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_E_CONTROL : WEEK2_E_CONTROL,522.0,0.17348958171282702
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_E_SUCCESS_COPING : WEEK2_E_SUCCESS_COPING,440.5,0.6485711826947193
pre_Norm_post_Norm : pre_Norm_post_High,D1_W2_Stress : D1_W2_Stress,321.5,0.3517440562763656
pre_Norm_post_Norm : pre_Norm_post_High,D2_W2_Stress : D2_W2_Stress,502.5,0.24673251253924822
pre_Norm_post_Norm : pre_Norm_post_High,D3_W2_Stress : D3_W2_Stress,442.5,0.6300030211470364
pre_Norm_post_Norm : pre_Norm_post_High,D4_W2_Stress : D4_W2_Stress,445.0,0.607471023922314
pre_Norm_post_Norm : pre_Norm_post_High,D5_W2_Stress : D5_W2_Stress,577.5,0.04678141495177005
pre_Norm_post_Norm : pre_Norm_post_High,D6_W2_Stress : D6_W2_Stress,514.0,0.20170674292519464
pre_Norm_post_Norm : pre_Norm_post_High,D7_W2_Stress : D7_W2_Stress,416.0,0.853540145834939
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_STRESS : WEEK2_STRESS,466.0,0.460150268714828
pre_Norm_post_Norm : pre_Norm_post_High,D1_W2_GaveSupport : D1_W2_GaveSupport,306.0,0.2540132665185286
pre_Norm_post_Norm : pre_Norm_post_High,D2_W2_GaveSupport : D2_W2_GaveSupport,330.5,0.41149695696473265
pre_Norm_post_Norm : pre_Norm_post_High,D3_W2_GaveSupport : D3_W2_GaveSupport,500.0,0.23349942540981294
pre_Norm_post_Norm : pre_Norm_post_High,D4_W2_GaveSupport : D4_W2_GaveSupport,453.0,0.5172205811633594
pre_Norm_post_Norm : pre_Norm_post_High,D5_W2_GaveSupport : D5_W2_GaveSupport,431.0,0.7065359875204071
pre_Norm_post_Norm : pre_Norm_post_High,D6_W2_GaveSupport : D6_W2_GaveSupport,506.0,0.19437081069138573
pre_Norm_post_Norm : pre_Norm_post_High,D7_W2_GaveSupport : D7_W2_GaveSupport,502.0,0.2273948436095895
pre_Norm_post_Norm : pre_Norm_post_High,D1_W2_ReceivedSupport : D1_W2_ReceivedSupport,417.0,0.8149266985590713
pre_Norm_post_Norm : pre_Norm_post_High,D2_W2_ReceivedSupport : D2_W2_ReceivedSupport,337.5,0.4632770003478761
pre_Norm_post_Norm : pre_Norm_post_High,D3_W2_ReceivedSupport : D3_W2_ReceivedSupport,477.0,0.3586742313310399
pre_Norm_post_Norm : pre_Norm_post_High,D4_W2_ReceivedSupport : D4_W2_ReceivedSupport,465.0,0.42744884933258653
pre_Norm_post_Norm : pre_Norm_post_High,D5_W2_ReceivedSupport : D5_W2_ReceivedSupport,359.0,0.6324979564172197
pre_Norm_post_Norm : pre_Norm_post_High,D6_W2_ReceivedSupport : D6_W2_ReceivedSupport,441.5,0.6120677128000264
pre_Norm_post_Norm : pre_Norm_post_High,D7_W2_ReceivedSupport : D7_W2_ReceivedSupport,424.0,0.7724200182863711
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_GaveSupport : WEEK2_GaveSupport,497.5,0.270886973306932
pre_Norm_post_Norm : pre_Norm_post_High,WEEK2_ReceivedSupport : WEEK2_ReceivedSupport,451.0,0.5626141240966698
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3 : WEEK3,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_PRODUCTIVE : WEEK3_PRODUCTIVE,459.0,0.5082409771925723
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_BELONGING : WEEK3_BELONGING,270.5,0.15468306843516788
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_DISCRIMINATION : WEEK3_DISCRIMINATION,397.0,0.9774077548640945
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_EMO_DRAINED : WEEK3_EMO_DRAINED,203.5,0.029880493436917663
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_TALKSTRESS : WEEK3_TALKSTRESS,265.5,0.1385967169430904
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_LITTLESLEEP : WEEK3_LITTLESLEEP,337.5,0.4975974147857447
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_PROFCARES : WEEK3_PROFCARES,367.0,0.7257908475789029
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HOMESICK : WEEK3_HOMESICK,408.0,0.9237870031308238
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_EXERCISE : WEEK3_EXERCISE,535.0,0.12733057765157332
pre_Norm_post_Norm : pre_Norm_post_High,EMA_MORNING : EMA_MORNING,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_ACTIVITY_ACADEMIC : WEEK3_ACTIVITY_ACADEMIC,444.5,0.5864817672915474
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_ACADEMIC_percentage : WEEK3_ACADEMIC_percentage,414.5,0.8561212627986658
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_ACTIVITY_PERSONAL : WEEK3_ACTIVITY_PERSONAL,401.5,0.980552732171758
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_PERSONAL_percentage : WEEK3_PERSONAL_percentage,440.5,0.6172814281799809
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_TIRED_AM : WEEK3_TIRED_AM,411.0,0.8983275952118642
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_DRINK : WEEK3_DRINK,418.0,0.8137075067491266
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_DRUGS : WEEK3_DRUGS,443.0,0.4347112914969754
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_drinkdrugs_alone : WEEK3_drinkdrugs_alone,464.5,0.05506186224883451
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_negative_cons : WEEK3_negative_cons,432.5,0.5215599528285568
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_SLEEP : WEEK3_SLEEP,,
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsBed_avg : WEEK3_HrsBed_avg,342.0,0.5304520877048073
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsAsleep_avg : WEEK3_HrsAsleep_avg,351.0,0.5979181055167884
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsBed_Weekday_avg : WEEK3_HrsBed_Weekday_avg,265.0,0.13827448956028077
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsAsleep_Weekday_avg : WEEK3_HrsAsleep_Weekday_avg,279.0,0.18456404525881132
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsBed_Weekend_avg : WEEK3_HrsBed_Weekend_avg,386.0,0.8895921023136761
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_HrsAsleep_Weekend_avg : WEEK3_HrsAsleep_Weekend_avg,403.0,0.9689989456636439
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_TODAY_STRESSFUL : WEEK3_TODAY_STRESSFUL,272.5,0.16117615943713604
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_M_STRESS : WEEK3_M_STRESS,404.5,0.9556543032653441
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_M_CONTROL : WEEK3_M_CONTROL,445.5,0.6091153794738762
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_M_SUCCESS_COPING : WEEK3_M_SUCCESS_COPING,440.0,0.6524906719573969
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A1_STRESS : WEEK3_A1_STRESS,267.5,0.14488339300851125
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A1_CONTROL : WEEK3_A1_CONTROL,321.5,0.3911939411816635
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A1_SUCCESS_COPING : WEEK3_A1_SUCCESS_COPING,526.5,0.15741514964844427
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A2_STRESS : WEEK3_A2_STRESS,354.0,0.6202189951405597
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A2_CONTROL : WEEK3_A2_CONTROL,423.0,0.7937508976690988
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_A2_SUCCESS_COPING : WEEK3_A2_SUCCESS_COPING,509.5,0.22125741785790543
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_E_STRESS : WEEK3_E_STRESS,210.0,0.036052012633987746
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_E_CONTROL : WEEK3_E_CONTROL,303.0,0.28808353087608907
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_E_SUCCESS_COPING : WEEK3_E_SUCCESS_COPING,512.0,0.21100359598302287
pre_Norm_post_Norm : pre_Norm_post_High,D1_W3_Stress : D1_W3_Stress,246.0,0.08887622868096165
pre_Norm_post_Norm : pre_Norm_post_High,D2_W3_Stress : D2_W3_Stress,233.0,0.06448120489806279
pre_Norm_post_Norm : pre_Norm_post_High,D3_W3_Stress : D3_W3_Stress,344.0,0.541881116450817
pre_Norm_post_Norm : pre_Norm_post_High,D4_W3_Stress : D4_W3_Stress,341.0,0.518022966570505
pre_Norm_post_Norm : pre_Norm_post_High,D5_W3_Stress : D5_W3_Stress,326.0,0.41687300699572083
pre_Norm_post_Norm : pre_Norm_post_High,D6_W3_Stress : D6_W3_Stress,397.5,0.9910721439732119
pre_Norm_post_Norm : pre_Norm_post_High,D7_W3_Stress : D7_W3_Stress,438.5,0.6627828126236547
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_STRESS : WEEK3_STRESS,234.0,0.06778313592007087
pre_Norm_post_Norm : pre_Norm_post_High,D1_W3_GaveSupport : D1_W3_GaveSupport,553.5,0.06275853325187437
pre_Norm_post_Norm : pre_Norm_post_High,D2_W3_GaveSupport : D2_W3_GaveSupport,447.0,0.5664033911216898
pre_Norm_post_Norm : pre_Norm_post_High,D3_W3_GaveSupport : D3_W3_GaveSupport,293.0,0.2068606934832482
pre_Norm_post_Norm : pre_Norm_post_High,D4_W3_GaveSupport : D4_W3_GaveSupport,315.5,0.32199564181754525
pre_Norm_post_Norm : pre_Norm_post_High,D5_W3_GaveSupport : D5_W3_GaveSupport,508.0,0.19428813545063972
pre_Norm_post_Norm : pre_Norm_post_High,D6_W3_GaveSupport : D6_W3_GaveSupport,397.5,0.9902622597721595
pre_Norm_post_Norm : pre_Norm_post_High,D7_W3_GaveSupport : D7_W3_GaveSupport,332.0,0.42961781887845985
pre_Norm_post_Norm : pre_Norm_post_High,D1_W3_ReceivedSupport : D1_W3_ReceivedSupport,426.5,0.743503532830516
pre_Norm_post_Norm : pre_Norm_post_High,D2_W3_ReceivedSupport : D2_W3_ReceivedSupport,406.0,0.9375960826782146
pre_Norm_post_Norm : pre_Norm_post_High,D3_W3_ReceivedSupport : D3_W3_ReceivedSupport,303.0,0.2537583084982916
pre_Norm_post_Norm : pre_Norm_post_High,D4_W3_ReceivedSupport : D4_W3_ReceivedSupport,354.0,0.5921852750752264
pre_Norm_post_Norm : pre_Norm_post_High,D5_W3_ReceivedSupport : D5_W3_ReceivedSupport,469.0,0.40716973648371113
pre_Norm_post_Norm : pre_Norm_post_High,D6_W3_ReceivedSupport : D6_W3_ReceivedSupport,350.0,0.5542836685772463
pre_Norm_post_Norm : pre_Norm_post_High,D7_W3_ReceivedSupport : D7_W3_ReceivedSupport,377.0,0.7983136550720488
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_GaveSupport : WEEK3_GaveSupport,455.5,0.5306233050190459
pre_Norm_post_Norm : pre_Norm_post_High,WEEK3_ReceivedSupport : WEEK3_ReceivedSupport,415.0,0.8619058484206747
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_EMA_EVENING : WEEK1_EMA_EVENING,,
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_PRODUCTIVE : WEEK1_PRODUCTIVE,324.0,0.8325471371576234
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_BELONGING : WEEK1_BELONGING,274.0,0.4157421515728932
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_DISCRIMINATION : WEEK1_DISCRIMINATION,362.5,0.73693567442027
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_EMO_DRAINED : WEEK1_EMO_DRAINED,326.5,0.8565342742066718
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_TALKSTRESS : WEEK1_TALKSTRESS,238.5,0.214361624001835
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_LITTLESLEEP : WEEK1_LITTLESLEEP,289.5,0.5302451747969553
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_PROFCARES : WEEK1_PROFCARES,298.0,0.5995031855384375
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_HOMESICK : WEEK1_HOMESICK,370.0,0.7307780075118979
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_EXERCISE : WEEK1_EXERCISE,429.0,0.2971503841718962
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_EMA_MORNING : WEEK1_EMA_MORNING,,
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_ACTIVITY_ACADEMIC : WEEK1_ACTIVITY_ACADEMIC,347.5,0.9507208370952238
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_ACADEMIC_percentage : WEEK1_ACADEMIC_percentage,362.5,0.8047485227725777
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_ACTIVITY_PERSONAL : WEEK1_ACTIVITY_PERSONAL,208.5,0.07401510549556853
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_PERSONAL_percentage : WEEK1_PERSONAL_percentage,239.5,0.17065160987743178
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_TIRED_AM : WEEK1_TIRED_AM,282.5,0.4770756177541071
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_DRINK : WEEK1_DRINK,433.0,0.21664661900193694
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_DRUGS : WEEK1_DRUGS,369.0,0.5237602992450909
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_drinkdrugs_alone : WEEK1_drinkdrugs_alone,348.0,0.831353993513056
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_negative_cons : WEEK1_negative_cons,378.0,0.44277926900980424
pre_Norm_post_Norm : pre_Norm_post_Low,WEEK1_SLEEP : WEEK1_SLEEP,,
